name,male,female,related
Adelynn,0,1,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Alene,Aline"
Adem,1,0,
Aden,1,1,"Aidan,Aiden,Aydan,Ayden"
Adena,0,1,
Adi,1,1,"Adolf,Adrian"
Adil,1,0,Adel
Adin,1,1,
Adina,0,1,
Aditi,0,1,
Aditya,1,1,
Adlai,1,1,"Adalia,'Adalya'"
Adna,1,1,
Adnan,1,0,
Adolf,1,0,"Adalwolf,Adi,Adolphus,Alf"
Adolfo,1,1,
Adolph,1,1,Dolph
Adolphus,1,0,"Adalwolf,Adolf"
Adonai,1,1,
Adonis,1,1,
Adora,0,1,Adoración
Adria,1,1,"Adriana,Adrianna,Adrianne"
Adrian,1,1,Adi
Adriana,1,1,"Adria,Adrianna,Adrianne,Adriene"
Adrianna,1,1,"Adria,Adriana,Adrianne"
Adrianne,1,1,"Adria,Adriana,Adrianna"
Adriano,1,0,
Adriel,1,1,
Adrien,1,1,
Adriene,1,1,Adriana
Adrienne,1,1,
Aedan,1,1,
Aeron,1,1,
Aeson,1,0,
Afia,0,1,"Afua,Efua"
Africa,0,1,Aifric
Agapito,1,0,
Agatha,0,1,"Agathe,Aggie"
Aggie,1,1,"Agatha,Agnes,Annice,Annis"
Agnes,1,1,"Age,Aggie,Agneta,Agnete,Agnetha,Agnethe,Annice,Annis,Hagne,Nancy,Nes,Neske"
Agostino,1,0,Dino
Agustin,1,1,
Agustina,0,1,
Aharon,1,0,
Ahmad,1,1,"Ahmed,Akhmad,Hameed,Hamid"
Ahmed,1,0,"Ahmad,Ahmet,Hameed,Hamid"
Ahmet,1,0,Ahmed
Ahuva,0,1,Ahava
Aicha,0,1,
Aida,1,1,Ayda
Aidan,1,1,"Aden,Aiden,Aodh,Aodhagán,Aodhán,Aydan,Ayden,Edan"
Aiden,1,1,"Aden,Aidan,Aydan,Ayden"
Aiko,1,1,
Aila,0,1,"Aili,Laila"
Aileen,1,1,"Alene,Aline,Eibhlín,Eileen,Ilene"
Aili,0,1,"Aila,Laila"
Ailin,1,1,
Ailsa,0,1,
Aime,1,1,
Aimee,1,1,"Ami,Amie,Amy"
Aina,0,1,"Aino,Anaïs,Anna,Ayna"
Ainara,0,1,Enara
Aine,0,1,
Ainhoa,0,1,
Ainslee,0,1,"Ainsley,Ansley"
Ainsley,1,1,Ansley
Ainslie,0,1,"Ainsley,Ansley"
Aira,0,1,Airi
Aisha,1,1,"Aïcha,'Aisha,A'isha,Aishah,Ayesha,Ayishah,Iesha"
Aishah,0,1,"Aïcha,'Aisha,A'isha,Aisha,Ayesha,Ayishah"
Aishwarya,0,1,
Aislin,0,1,"Aisling,Aislinn,Ashling"
Aisling,0,1,"Aislinn,Ashling"
Aislinn,0,1,"Aisling,Ashling"
Aissa,0,1,
Aissatou,0,1,
Aitana,0,1,
Aiza,0,1,Aizah
Ajay,1,1,
Ajla,0,1,
Akari,1,1,
Akash,1,0,
Akbar,1,0,
Akeem,1,0,
Akemi,1,1,
Akhil,1,0,
Aki,1,1,"Joakim,Jooa,Kim,Kimi"
Akiko,0,1,
Akilah,0,1,Aqila
Akim,1,0,
Akira,1,1,
Akiva,1,1,"Akiba,Yaakov,Yakov"
Akram,1,0,"Kareem,Karim"
Aksel,1,0,Axel
Akshay,1,0,
Akua,0,1,Ekua
Al,1,1,"Alan,Albert,Albie,Alec,Alex,Alexander,Allan,Allen,Allyn,Bert,Bertie,Lex,Sandy,Xander,Zander"
Ala,1,1,
Alaia,1,1,
Alain,1,1,Alan
Alaina,1,1,"Alana,Alanna,Alannah,Alayna,Allyn,Lana"
Alaiya,0,1,"Aaliyah,Alaya,Alayah,Aleah"
Alan,1,1,"Al,Alain,Allan,Allen,Allyn"
Alana,1,1,"Alaina,Alanna,Alannah,Alayna,Allyn,Lana"
Alani,1,1,
Alanis,0,1,"Alaina,Alana,Alanna,Alannah,Alayna,Allyn,Lana"
Alanna,1,1,"Alaina,Alana,Alannah,Alayna,Allyn,Lana"
Alannah,0,1,"Alaina,Alana,Alanna,Alayna,Allyn,Lana"
Alaric,1,0,
Alastair,1,0,"Alasdair,Alistair,Alister,Ally"
Alaya,0,1,"Aaliyah,Alaiya,Alayah,Aleah"
Alayah,0,1,"Aaliyah,Alaiya,Alaya,Aleah"
Alayna,1,1,"Alaina,Alana,Alanna,Alannah,Allyn,Lana"
Alba,1,1,Elba
Alban,1,0,
Albert,1,1,"Adalberht,Adalbert,Adelbert,Al,Albertus,Albie,Albrecht,Alik,Aubert,Bert,Bertie"
Alberta,1,1,"Albertina,Bertina,Birdie,Tina"
Albertina,0,1,"Alberta,Tina"
Albertine,0,1,Alberte
Alberto,1,1,"Adalberto,Berto"
Albin,1,0,"Aubin,Bine"
Albina,0,1,"Alina,Alya"
Albino,1,0,
Alcide,1,0,
Alda,1,1,"Adela,Adelina,Aldina,Dina"
Alden,1,1,
Aldin,1,0,
Aldo,1,1,
Aldona,0,1,
Alea,0,1,"Aaliyah,Alaiya,Alaya,Alayah,Aleah"
Aleah,0,1,"Aaliyah,Alaiya,Alaya,Alayah"
Alease,0,1,"Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alec,1,1,"Al,Alex,Alexander,Lex,Sandy,Xander,Zander"
Alecia,0,1,"Alease,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Aleesha,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Aleida,0,1,
Alejandra,1,1,Ale
Alejandro,1,1,"Ale,Álex"
Alejo,1,0,Alexis
Aleksandar,1,0,"Aca,Ace,Aco,Sandi,Saša,Sasho,Saško,Sašo,Skender"
Aleksander,1,0,"Aleks,Aleš,Alex,Alexander,Olek,Sander,Sandi,Saša,Sašo"
Aleksandr,1,0,"Aleks,Alex,Alexandr,Alexsandr,Alik,Sanya,Sasha,Sashok,Shura"
Aleksandra,0,1,"Aleks,Aleksandrina,Alesya,Alexandra,Alja,Alya,Asya,Lesya,Ola,Oleksandra,Olesya,Sanda,Santa,Sanya,Saša,Sasha,Sashenka,Sashka,Saška,Shura"
Alen,1,0,
Alena,0,1,"Alenka,Ela,Elena,Ella,Helena,Helene,Helenka,Hella,Lena,Leni,Lenka,Magda,Magdaléna,Magdalena,Magdalene,Majda"
Alene,1,1,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adela,Adeline,Adella,Adelyn,Adelynn,Aileen,Aline,Eileen,Ilene"
Alesha,1,1,"Alease,Alecia,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alesia,0,1,"Alease,Alecia,Alesha,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alessa,0,1,"Alessandra,Sandra"
Alessandra,0,1,"Alessa,Sandra"
Alessandro,1,0,"Ale,Alex,Sandro"
Alessia,0,1,
Alessio,1,0,
Aleta,0,1,
Aletha,0,1,"Alethea,Letha"
Alethea,0,1,"Aletha,Letha"
Alex,1,1,"Al,Ale,Alec,Alekos,Aleks,Aleksander,Aleksandr,Aleksei,Aleksey,Aleš,Alessandro,Alexa,Alexander,Alexandr,Alexandra,Alexandre,Alexandrea,Alexandria,Alexandros,Alexandru,Alexei,Alexey,Alexina,Alexsandr,Ali,Alik,Allie,Ally,Alyosha,Lex,Lexa,Lexi,Lexie,Lexine,Lexy,Lyosha,Sander,Sandie,Sándor,Sandro,Sandu,Sandy,Sanya,Sanyi,Sasha,Sashok,Shura,Xande,Xander,Xandra,Zander,Zandra"
Alexa,1,1,"Alex,Alexandra,Alexandrea,Alexandria,Alexina,Ali,Allie,Ally,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Szandra,Zandra"
Alexander,1,1,"Al,Alec,Aleksander,Aleš,Alex,Alexandros,Lex,Sander,Sándor,Sandy,Sanyi,Xander,Zander"
Alexandr,1,1,"Aleks,Aleksandr,Aleš,Alex,Alexsandr,Alik,Sanya,Sasha,Sashok,Shura"
Alexandra,1,1,"Aleka,Aleks,Aleksandra,Aleksandrina,Alesya,Alex,Alexa,Alexandrea,Alexandria,Alexandrina,Alexandrine,Alexina,Ali,Allie,Ally,Alya,Andra,Asya,Lesya,Lexa,Lexi,Lexie,Lexine,Lexy,Oleksandra,Olesya,Sanda,Sandie,Sandy,Sanya,Sasha,Sashenka,Shura,Szandra,Xandra,Zandra"
Alexandre,1,1,"Àlex,Alex,Xande"
Alexandrea,0,1,"Alex,Alexa,Alexandra,Alexandria,Alexina,Ali,Allie,Ally,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Zandra"
Alexandria,1,1,"Alex,Alexa,Alexandra,Alexandrea,Alexina,Ali,Allie,Ally,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Zandra"
Alexandros,1,0,"Alekos,Alex,Alexander"
Alexandru,1,0,"Alex,Sandu"
Alexei,1,1,"Aleks,Aleksei,Aleksey,Alex,Alexey,Alyosha,Lyosha"
Alexia,1,1,"Alexina,Alexis,Alexus,Lexi,Lexia,Lexie,Lexine,Lexus,Lexy"
Alexis,1,1,"Alejo,Alexia,Alexina,Alexus,Lexi,Lexia,Lexie,Lexine,Lexus,Lexy"
Alexius,1,1,Alexios
Alexus,1,1,"Alexia,Alexina,Alexis,Lexi,Lexia,Lexie,Lexine,Lexus,Lexy"
Aleyna,0,1,
Alf,1,0,"Adolf,Alfie,Alfr,Alfred,Alv"
Alfie,1,1,"Alf,Alfred"
Alfonso,1,1,"Alonso,Ildefonso"
Alfred,1,1,"Alf,Alfie,Fred"
Alfreda,1,1,"Freda,Freddie"
Alfredo,1,1,
Alger,1,0,
Algernon,1,0,
Ali,1,1,"Alease,Alecia,Alesha,Alesia,Alex,Alexa,Alexandra,Alexandrea,Alexandria,Alexina,'Ali,Alice,Alicia,Alija,Alisha,Alison,Alissa,Allie,Allison,Ally,Allyson,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyson,Alyssa,Alyssia,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Zandra"
Alia,0,1,Alya
Aliah,0,1,"Aaliyah,Alaiya,Alaya,Alayah,Aleah"
Alica,0,1,
Alice,1,1,"Alease,Alecia,Alesha,Alesia,Ali,Alícia,Alicia,Alisha,Alison,Alissa,Alix,Allie,Ally,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lisha"
Alicia,1,1,"Alease,Alecia,Alesha,Alesia,Ali,Alice,Alisha,Alissa,Allie,Ally,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alida,0,1,"Adelheid,Heida,Heide,Heidi"
Alim,1,0,Alimjan
Alin,1,1,
Alina,0,1,"Adela,Adelina,Albina,Alda,Alya"
Aline,1,1,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adela,Adèle,Adelia,Adélie,Adelina,Adeline,Adella,Adelyn,Adelynn,Aileen,Alda,Alene,Aude,Eileen,Ilene,Lina,Line,Lyna"
Alisa,1,1,"Aliisa,Alli,Iisa"
Alise,0,1,"Alease,Alecia,Alesha,Alesia,Ali,Alice,Alicia,Alisha,Alissa,Allie,Ally,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia"
Alisha,1,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alishia,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alisia,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alison,1,1,"Ali,Alice,Alix,Allie,Allison,Ally,Allyson,Alyson"
Alissa,1,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alistair,1,0,"Alasdair,Alastair,Alister,Ally"
Alister,1,1,"Alasdair,Alastair,Alistair,Ally"
Alita,0,1,
Alivia,1,1,"Liv,Livia,Livvy,Livy,Olivia,Ollie"
Alix,1,1,"Alice,Alison"
Aliya,0,1,"Aliyah,Aliyya,Aliyyah"
Aliyah,1,1,"Aliya,Aliyya,Aliyyah"
Aliza,1,1,
Alla,1,1,Allochka
Allan,1,1,"Al,Alan,Allen,Allyn"
Allana,0,1,"Alaina,Alana,Alanna,Alannah,Alayna,Allyn,Lana"
Allegra,0,1,
Allen,1,1,"Al,Alan,Allan,Allyn"
Alli,1,1,"Aliisa,Alisa,Iisa"
Allie,1,1,"Alease,Alecia,Alesha,Alesia,Alex,Alexa,Alexandra,Alexandrea,Alexandria,Alexina,Ali,Alice,Alicia,Alisha,Alison,Alissa,Allison,Ally,Allyson,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyson,Alyssa,Alyssia,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Zandra"
Allison,1,1,"Ali,Alison,Allie,Ally,Allyson,Alyson"
Allissa,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Ally,1,1,"Alasdair,Alastair,Alease,Alecia,Alesha,Alesia,Alex,Alexa,Alexandra,Alexandrea,Alexandria,Alexina,Ali,Alice,Alicia,Alisha,Alison,Alissa,Alistair,Alister,Allie,Allison,Allyson,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyson,Alyssa,Alyssia,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Zandra"
Allyn,1,1,"Al,Alaina,Alan,Alana,Alanna,Alannah,Alayna,Allan,Allen,Lana"
Allyson,1,1,"Ali,Alison,Allie,Allison,Ally,Alyson"
Alma,1,1,
Almira,0,1,Elmira
Alois,1,1,
Alon,1,1,
Alona,0,1,
Alondra,1,1,
Alonso,1,0,Alfonso
Alonzo,1,1,"Alphonso,Lon,Lonnie,Lonny"
Aloysius,1,0,Aloys
Alpha,1,1,
Alphonse,1,0,
Alphonso,1,1,Alonzo
Alphonzo,1,0,"Alonzo,Alphonso"
Alta,1,1,
Altagracia,0,1,
Althea,1,1,
Alton,1,1,
Alva,1,1,
Alvah,1,1,
Alvaro,1,1,
Alvena,0,1,"Alvina,Elvina"
Alvin,1,1,Elvin
Alvina,1,1,"Alvena,Elvina"
Alvis,1,1,Alvíss
Alwin,1,0,"Adalwin,Alboin,Alfwin"
Alwyn,1,1,
Alya,0,1,"Albina,Aleks,Aleksandra,Aleksandrina,Alesya,Alexandra,Alia,Alina,Asya,Sanya,Sasha,Sashenka,Shura"
Alyce,0,1,"Alease,Alecia,Alesha,Alesia,Ali,Alice,Alicia,Alisha,Alissa,Allie,Ally,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia"
Alycia,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alys,0,1,"Alease,Alecia,Alesha,Alesia,Ali,Alice,Alicia,Alisha,Alissa,Allie,Ally,Alyce,Alycia,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia"
Alysa,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alyse,0,1,"Alease,Alecia,Alesha,Alesia,Ali,Alice,Alicia,Alisha,Alissa,Allie,Ally,Alyce,Alycia,Alys,Alysa,Alysha,Alysia,Alyssa,Alyssia"
Alysha,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alysia,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
Alyson,1,1,"Ali,Alison,Allie,Allison,Ally,Allyson"
Alyssa,1,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssia,Lesia,Lisha,Lyssa"
Alyssia,0,1,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Lesia,Lisha,Lyssa"
Alyx,1,1,"Alex,Alexa,Alexandra,Alexandrea,Alexandria,Ali,Allie,Ally,Lexa,Lexi,Lexie,Lexine,Lexy,Sandie,Sandy,Zandra"
Ama,0,1,
Amada,0,1,
Amadeo,1,0,
Amadeus,1,0,
Amado,1,0,
Amador,1,0,
Amadou,1,0,Amadu
Amaia,0,1,Amaya
Amal,1,1,
Amalia,0,1,"Amelia,Amelina"
Amalie,0,1,
Amanda,1,1,"Mandi,Mandy"
Amando,1,1,
Amani,1,1,
Amar,1,1,
Amara,1,1,
Amarachi,0,1,
Amari,1,1,
Amariah,1,1,
Amarilis,0,1,
Amaru,1,1,
Amaryllis,0,1,
Amaury,1,1,
Amaya,1,1,Amaia
Ambar,1,1,
Amber,1,1,Amberly
Amberly,0,1,Amber
Amberlynn,0,1,"Amber,Amberly"
Ambra,0,1,
Ambre,0,1,
Ambrose,1,1,
Ambrosia,0,1,
Ambrosio,1,0,
Amedeo,1,0,
Amee,0,1,
Amel,1,1,Amaal
Amelia,1,1,"Amalia,Amelina,Emelia,Millie,Milly"
Amelie,0,1,
Amen,1,1,"Ammon,Amon,Amun,Yamanu"
America,1,1,
Americo,1,0,
Amery,1,1,"Emery,Emory"
Amethyst,0,1,
Ami,1,1,"Aimee,Amie,Amy"
Amias,1,0,
Amie,1,1,"Aimee,Ami,Amy"
Amilcar,1,0,
Amilia,0,1,"Amelia,Em,Emelia,Emely,Emilee,Emily,Emmie,Emmy,Millie,Milly"
Amin,1,0,Amine
Amina,0,1,"Aamina,Aaminah,Aminah,Emina"
Aminah,0,1,"Aamina,Aaminah,Amina"
Aminata,0,1,Aminatou
Amir,1,1,"Aamir,Emir"
Amira,0,1,Amirah
Amirah,0,1,Amira
Amit,1,1,
Amity,0,1,
Amiyah,0,1,
Ammar,1,0,'Ammar
Ammon,1,0,"Amen,Amon,Amun,Yamanu"
Amna,0,1,
Amon,1,0,"Amen,Ammon,Amun,Yamanu"
Amor,1,1,
Amore,1,1,
Amos,1,1,
Amour,1,1,
Amparo,1,1,
Amrit,1,1,
Amrita,0,1,
Amy,1,1,"Aimee,Ami,Amie"
An,1,1,
Ana,1,1,"Anabel,Anabela,Anano,Anca,Ancuța,Anelia,Aneliya,Aneta,Ani,Anica,Anika,Anișoara,Anita,Anka,Ankica,Anna,Anuki,Anuša,Jana,Nuša"
Anabel,1,1,"Ana,Ani,Anita"
Anabella,0,1,"Anabelle,Annabel,Annabella,Annabelle,Arabella"
Anabelle,0,1,"Anabella,Annabel,Annabella,Annabelle,Arabella"
Anaiah,1,1,
Anais,1,1,
Anakin,1,1,
Anamaria,0,1,
Anand,1,0,Ananda
Ananda,1,1,Anand
Ananias,1,0,Annas
Anas,1,0,Anass
Anasofia,0,1,
Anastacia,0,1,Anastasia
Anastacio,1,0,Anastasio
Anastasia,1,1,"Anastacia,Anastasiya,Asya,Nastasia,Nastassia,Nastasya,Nastia,Nastya,Natasa,Stace,Stacey,Staci,Stacia,Stacie,Stacy,Stasya,Tasia,Tasoula"
Anastasios,1,0,Anastasius
Anastasiya,0,1,"Anastasia,Asya,Nastasia,Nastassia,Nastasya,Nastia,Nastya,Stasya"
Anastazia,0,1,
Anaya,0,1,
Anayeli,0,1,Nayeli
Ander,1,0,
Anders,1,0,Andreas
Anderson,1,1,
Andi,1,1,"Andie,Andrea,Andy,Drea"
Andie,1,1,"Andi,Andrea,Andrew,Andy,Drea,Drew"
Andon,1,0,"Anton,Antonij,Antoniy,Doncho,Dončo,Toni"
Andra,1,1,"Alexandra,Sanda"
Andre,1,1,"Deandre,Dre"
Andrea,1,1,"Andi,Andie,Andreja,Andrine,Andy,Drea,Ea"
Andreas,1,1,"Anders,Andries,Dries"
Andree,1,1,
Andrei,1,0,Andrey
Andreia,0,1,"Andréa,Andréia"
Andreina,1,1,
Andres,1,1,"Andrus,Anti"
Andrew,1,1,"Andie,Andy,Drew"
Andrey,1,1,Andrei
Andria,1,1,Andro
Andriana,0,1,
Andrina,0,1,"Andi,Andie,Andrea,Andy,Drea"
Andromeda,0,1,
Andy,1,1,"Andi,Andie,Andrea,Andrew,Drea,Drew"
Aneta,0,1,"Ana,Ani,Anika,Anka,Anna"
Anette,0,1,Anne
Angel,1,1,Angjelko
Angela,1,1,"Angelia,Angelien,Angelina,Angie,Anzhela,Lina"
Angele,0,1,
Angeles,1,1,
Angelia,1,1,"Angela,Angie"
Angelica,1,1,Anjelica
Angelika,0,1,"Andżelika,Angyalka"
Angelina,1,1,"Angela,Lina"
Angeline,1,1,Angèle
Angelique,1,1,Lieke
Angelita,1,1,Ángela
Angelle,0,1,
Angelo,1,1,"Angelino,Angiolo,Lino"
Angie,1,1,"Angela,Angelia"
Angus,1,0,"Aengus,Aonghas,Aonghus,Gus"
Anh,1,1,
Ani,1,1,"Ana,Anabel,Anano,Anca,Ancuța,Aneta,Anișoara,Anita,Anna,Anuki"
Ania,0,1,"Anna,Annushka,Anushka,Anya"
Anibal,1,1,
Anica,0,1,"Ana,Anika,Anita,Anka,Ankica,Anuša,Jana,Nuša"
Aniela,0,1,
Anika,0,1,"Ana,Ane,Aneta,Anica,Anina,Anita,Anka,Anke,Ankica,Anna,Anneke,Anneli,Annelie,Annelien,Anni,Anouk,Ans,Antje,Anuša,Nuša"
Anil,1,0,
Anina,0,1,"Anika,Anna,Anneli,Annelie,Anni"
Anisa,0,1,
Anise,0,1,
Anish,1,0,
Anisha,0,1,
Anissa,1,1,"Anna,Keanna"
Anita,1,1,"Ana,Anabel,Anabela,Ani,Anica,Anika,Anka,Ankica,Anuša,Jana,Nita,Nuša"
Aniya,0,1,
Aniyah,1,1,
Anja,0,1,
Anjali,0,1,
Anjelica,0,1,Angelica
Ankit,1,0,
Ankita,0,1,
Ankur,1,0,
Ann,1,1,"Anne,Annette,Annie,Nan,Nance,Nancy,Nanette,Nannie,Nanny"
